Readable,Epoch,Train_Loss,IN_PSNR,OUT_PSNR,IN_SSIM,OUT_SSIM,PSNR_Diff
Radius 5 | Fibre: False | Axis: X | Norm: No,29,11.1467,32.17,33.57,0.93,0.94,1.3999999999999986
Radius 5 | Fibre: False | Axis: X | Norm: No,30,11.1075,32.17,33.54,0.93,0.94,1.3699999999999974
Radius 5 | Fibre: False | Axis: X | Norm: No,31,10.9614,32.17,33.61,0.93,0.94,1.4399999999999977
Radius 5 | Fibre: False | Axis: X | Norm: No,32,10.9554,32.17,33.49,0.93,0.94,1.3200000000000003
Radius 5 | Fibre: False | Axis: X | Norm: No,33,12.2428,32.17,33.54,0.93,0.94,1.3699999999999974
Radius 5 | Fibre: False | Axis: X | Norm: No,34,11.0568,32.17,33.57,0.93,0.94,1.3999999999999986
Radius 5 | Fibre: False | Axis: X | Norm: No,35,10.4616,32.17,33.48,0.93,0.94,1.3099999999999952
Radius 5 | Fibre: False | Axis: X | Norm: No,36,10.7532,32.17,33.6,0.93,0.94,1.4299999999999997
Radius 5 | Fibre: False | Axis: X | Norm: No,37,10.448,32.17,33.59,0.93,0.94,1.4200000000000017
Radius 5 | Fibre: False | Axis: X | Norm: No,38,10.4739,32.17,33.44,0.93,0.94,1.269999999999996
Radius 5 | Fibre: False | Axis: X | Norm: No,39,10.4209,32.17,33.51,0.93,0.94,1.3399999999999963
Radius 5 | Fibre: False | Axis: X | Norm: No,40,10.1658,32.17,33.46,0.93,0.94,1.2899999999999991
Radius 5 | Fibre: False | Axis: X | Norm: No,41,10.3577,32.17,33.5,0.93,0.94,1.3299999999999983
Radius 5 | Fibre: False | Axis: X | Norm: No,42,10.0613,32.17,33.47,0.93,0.94,1.2999999999999972
Radius 5 | Fibre: False | Axis: X | Norm: No,43,10.1616,32.17,33.19,0.93,0.94,1.019999999999996
Radius 5 | Fibre: False | Axis: X | Norm: No,44,10.0928,32.17,33.44,0.93,0.94,1.269999999999996
Radius 5 | Fibre: False | Axis: X | Norm: No,45,10.0059,32.17,33.45,0.93,0.94,1.2800000000000011
Radius 5 | Fibre: False | Axis: X | Norm: No,46,9.6424,32.17,33.45,0.93,0.94,1.2800000000000011
Radius 5 | Fibre: False | Axis: X | Norm: No,47,9.8692,32.17,33.5,0.93,0.94,1.3299999999999983
Radius 5 | Fibre: False | Axis: X | Norm: No,48,10.0373,32.17,33.46,0.93,0.94,1.2899999999999991
Radius 5 | Fibre: False | Axis: X | Norm: No,49,9.421,32.17,33.45,0.93,0.94,1.2800000000000011
Radius 5 | Fibre: False | Axis: X | Norm: No,50,9.6542,32.17,33.43,0.93,0.94,1.259999999999998
Radius 5 | Fibre: False | Axis: X | Norm: Yes,1,0.0005,32.17,33.3,0.93,0.94,1.1299999999999955
Radius 5 | Fibre: False | Axis: X | Norm: Yes,2,0.0003,32.17,33.48,0.93,0.94,1.3099999999999952
Radius 5 | Fibre: False | Axis: X | Norm: Yes,3,0.0003,32.17,33.42,0.93,0.94,1.25
Radius 5 | Fibre: False | Axis: X | Norm: Yes,4,0.0003,32.17,33.58,0.93,0.94,1.4099999999999966
Radius 5 | Fibre: False | Axis: X | Norm: Yes,5,0.0002,32.17,33.5,0.93,0.94,1.3299999999999983
Radius 5 | Fibre: False | Axis: X | Norm: Yes,6,0.0002,32.17,33.45,0.93,0.94,1.2800000000000011
Radius 5 | Fibre: False | Axis: X | Norm: Yes,7,0.0002,32.17,33.55,0.93,0.94,1.3799999999999955
Radius 5 | Fibre: False | Axis: X | Norm: Yes,8,0.0002,32.17,33.39,0.93,0.94,1.2199999999999989
Radius 5 | Fibre: False | Axis: X | Norm: Yes,9,0.0002,32.17,33.42,0.93,0.94,1.25
Radius 5 | Fibre: False | Axis: X | Norm: Yes,10,0.0002,32.17,33.06,0.93,0.9,0.8900000000000006
Radius 5 | Fibre: False | Axis: X | Norm: Yes,11,0.0002,32.17,33.34,0.93,0.93,1.1700000000000017
Radius 5 | Fibre: False | Axis: X | Norm: Yes,12,0.0002,32.17,33.35,0.93,0.94,1.1799999999999997
Radius 5 | Fibre: False | Axis: X | Norm: Yes,13,0.0002,32.17,33.3,0.93,0.94,1.1299999999999955
Radius 5 | Fibre: False | Axis: X | Norm: Yes,14,0.0002,32.17,33.36,0.93,0.94,1.1899999999999977
Radius 5 | Fibre: False | Axis: X | Norm: Yes,15,0.0002,32.17,33.45,0.93,0.94,1.2800000000000011
Radius 5 | Fibre: False | Axis: X | Norm: Yes,16,0.0002,32.17,33.27,0.93,0.93,1.1000000000000014
Radius 5 | Fibre: False | Axis: X | Norm: Yes,17,0.0002,32.17,33.41,0.93,0.94,1.2399999999999949
Radius 5 | Fibre: False | Axis: X | Norm: Yes,18,0.0002,32.17,33.35,0.93,0.94,1.1799999999999997
Radius 5 | Fibre: False | Axis: X | Norm: Yes,19,0.0002,32.17,33.27,0.93,0.94,1.1000000000000014
Radius 5 | Fibre: False | Axis: X | Norm: Yes,20,0.0002,32.17,32.76,0.93,0.93,0.5899999999999963
Radius 5 | Fibre: False | Axis: X | Norm: Yes,21,0.0002,32.17,33.29,0.93,0.93,1.1199999999999974
Radius 5 | Fibre: False | Axis: X | Norm: Yes,22,0.0002,32.17,33.31,0.93,0.93,1.1400000000000006
Radius 5 | Fibre: False | Axis: X | Norm: Yes,23,0.0002,32.17,33.24,0.93,0.93,1.0700000000000003
Radius 5 | Fibre: False | Axis: X | Norm: Yes,24,0.0002,32.17,33.16,0.93,0.93,0.9899999999999949
Radius 5 | Fibre: False | Axis: X | Norm: Yes,25,0.0002,32.17,33.22,0.93,0.93,1.0499999999999972
Radius 5 | Fibre: False | Axis: X | Norm: Yes,26,0.0002,32.17,33.28,0.93,0.94,1.1099999999999994
Radius 5 | Fibre: False | Axis: X | Norm: Yes,27,0.0002,32.17,33.34,0.93,0.94,1.1700000000000017
Radius 5 | Fibre: False | Axis: X | Norm: Yes,28,0.0002,32.17,33.23,0.93,0.93,1.0599999999999952
Radius 5 | Fibre: False | Axis: X | Norm: Yes,29,0.0002,32.17,33.33,0.93,0.94,1.1599999999999966
Radius 5 | Fibre: False | Axis: X | Norm: Yes,30,0.0002,32.17,33.04,0.93,0.92,0.8699999999999974
Radius 5 | Fibre: False | Axis: X | Norm: Yes,31,0.0002,32.17,33.21,0.93,0.94,1.0399999999999991
Radius 5 | Fibre: False | Axis: X | Norm: Yes,32,0.0002,32.17,33.26,0.93,0.94,1.0899999999999963
Radius 5 | Fibre: False | Axis: X | Norm: Yes,33,0.0002,32.17,32.8,0.93,0.93,0.6299999999999955
Radius 5 | Fibre: False | Axis: X | Norm: Yes,34,0.0002,32.17,33.25,0.93,0.94,1.0799999999999983
Radius 5 | Fibre: False | Axis: X | Norm: Yes,35,0.0002,32.17,33.3,0.93,0.94,1.1299999999999955
Radius 5 | Fibre: False | Axis: X | Norm: Yes,36,0.0002,32.17,33.08,0.93,0.91,0.9099999999999966
